"","CO_ENTIDADE","NO_ENTIDADE","TP_SITUACAO_FUNCIONAMENTO","DT_ANO_LETIVO_TERMINO","CO_REGIAO","TP_LOCALIZACAO","IN_CONVENIADA_PP","IN_LOCAL_FUNC_SALAS_EMPRESA","IN_AGUA_CACIMBA","IN_AGUA_FONTE_RIO","IN_ENERGIA_INEXISTENTE","IN_LIXO_COLETA_PERIODICA","IN_SALA_DIRETORIA","IN_LABORATORIO_CIENCIAS","IN_SALA_ATENDIMENTO_ESPECIAL","IN_QUADRA_ESPORTES_COBERTA","IN_QUADRA_ESPORTES_DESCOBERTA","IN_QUADRA_ESPORTES","IN_COZINHA","IN_BIBLIOTECA","IN_SALA_LEITURA","IN_BIBLIOTECA_SALA_LEITURA","IN_PARQUE_INFANTIL","IN_BERCARIO","IN_BANHEIRO_FORA_PREDIO","IN_BANHEIRO_DENTRO_PREDIO","IN_BANHEIRO_EI","IN_SECRETARIA","IN_BANHEIRO_CHUVEIRO","IN_REFEITORIO","IN_AUDITORIO","IN_ALOJAM_ALUNO","IN_ALOJAM_PROFESSOR","IN_AREA_VERDE","QT_SALAS_EXISTENTES","IN_INTERNET","IN_BANDA_LARGA","QT_FUNCIONARIOS","IN_ALIMENTACAO","TP_AEE","IN_FUNDAMENTAL_CICLOS","TP_LOCALIZACAO_DIFERENCIADA","IN_MATERIAL_ESP_QUILOMBOLA","IN_MATERIAL_ESP_INDIGENA","IN_EDUCACAO_INDIGENA","TP_INDIGENA_LINGUA","CO_LINGUA_INDIGENA","IN_BRASIL_ALFABETIZADO","IN_FINAL_SEMANA","IN_MEDIACAO_SEMIPRESENCIAL","IN_ESPECIAL_EXCLUSIVA","IN_PROFISSIONALIZANTE","IN_COMUM_CRECHE","IN_COMUM_FUND_AF","IN_COMUM_MEDIO_MEDIO","IN_COMUM_MEDIO_INTEGRADO","IN_COMUM_MEDIO_NORMAL","IN_ESP_EXCLUSIVA_FUND_AF","IN_ESP_EXCLUSIVA_MEDIO_MEDIO","IN_ESP_EXCLUSIVA_MEDIO_INTEGR","IN_ESP_EXCLUSIVA_MEDIO_NORMAL","Endereço","Telefone","Dependência.Administrativa","Categoria.Escola.Privada","Regulamentação.pelo.Conselho.de.Educação","Latitude","Longitude"
"11",43001980,"EEI TURMA DA MAGALI",1,"31/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,8,1,1,13,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"ADAO PRETTO, 4967 LOMBA DO PINHEIRO. 91570-735 Porto Alegre - RS.","(51) 33363767","Privada","Particular","Em Tramitação",NA,NA
"12",43001998,"EEI PEQUENOS BRILHANTES",1,"28/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,5,1,1,8,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AVENIDA BALTAZAR DE OLIVEIRA GARCIA, 4660 FUNDOS LATERAL. RUBEM BERTA. 91180-000 Porto Alegre - RS.","(51) 33657890","Privada","Particular","Em Tramitação",-30.01355,-51.09916
"13",43002021,"INST EDUC INF BILINGUE UP KIDS SCHOOL",1,"14/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,9,1,1,9,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"ALAMEDA EMILIO DE MENEZES, 100 TRES FIGUEIRAS. 91340-360 Porto Alegre - RS.","(51) 33287118","Privada","Particular","Em Tramitação",-30.02981,-51.17807
"14",43002030,"EEI CAMBALHOTA",1,"31/12/2018",4,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,6,1,1,8,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AVENIDA BENTO GONCALVES, 934 SANTANA. 90610-250 Porto Alegre - RS.","(51) 33985458","Privada","Particular","Em Tramitação",-30.05208,-51.20386
"15",43002064,"EEI GENTE MIUDA",1,"12/12/2018",4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,5,1,1,12,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AVENIDA BENNO MENTZ, 215 VILA IPIRANGA. 91370-020 Porto Alegre - RS.","(51) 33666812","Privada","Particular","Sim",-30.0124666,-51.1480022
"16",43002188,"EEI SOBRADINHO ALEGRE",1,"21/12/2018",4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,8,1,1,18,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AVENIDA CORONEL LUCAS DE OLIVEIRA, 1927 PETROPOLIS. 90460-001 Porto Alegre - RS.","(51) 33884807","Privada","Particular","Em Tramitação",-30.03969,-51.1946
"17",43002200,"EEI PAMPEANO",1,"28/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,6,1,1,15,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA PEDRO IVO, 88 MONT SERRAT. 90450-210 Porto Alegre - RS.","(51) 30192528","Privada","Particular","Em Tramitação",-30.0293,-51.19355
"18",43002218,"EEI FILHOS DA PROMESSA",1,"30/11/2018",4,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,14,1,1,18,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA SILVEIRO, 841 MENINO DEUS. 90850-170 Porto Alegre - RS.","(51) 37791140","Privada","Particular","Sim",-30.06071,-51.22837
"19",43002269,"EEI MUNDO MAGICO DA ALEGRIA",1,"28/12/2018",4,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,14,1,1,12,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA CIRINO PRUNES, 292 ESPIRITO SANTO. 91770-210 Porto Alegre - RS.","(51) 32632094","Privada","Particular","Sim",-30.14776,-51.2123
"20",43004229,"EEI ALEGRIA DE CRIANCA",1,"20/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,5,1,1,8,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AV ALCIDES MAIA, 259 SARANDI. 91130-700 Porto Alegre - RS.","(51) 984205906","Privada","Particular","Em Tramitação",-29.99644,-51.12831
"21",43004245,"EEI TURMINHA DO PUFF",1,"22/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,3,1,1,6,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA PADRE ROQUE GONZALES, 474 LOMBA DO PINHEIRO. 91570-170 Porto Alegre - RS.","(51) 33546622","Privada","Particular","Em Tramitação",-30.11369,-51.10212
"22",43004261,"EEI SO BEBE",1,"28/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,3,1,1,4,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA JAGUARI, 582 CRISTAL. 90820-180 Porto Alegre - RS.","(51) 32662518","Privada","Particular","Em Tramitação",NA,NA
"23",43004288,"EEI ECOVILLE KIDS",1,"21/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,7,1,1,19,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AVENIDA ECOVILLE, 845 SARANDI. 91150-401 Porto Alegre - RS.","(51) 33442918","Privada","Particular","Em Tramitação",-30.00143,-51.12349
"24",43004296,"EEI CRIARTE",1,"28/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,4,1,1,7,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA ROQUE CALAGE, 755 PASSO DA AREIA. 91350-090 Porto Alegre - RS.","(51) 30619895","Privada","Particular","Em Tramitação",-30.01839,-51.16315
"25",43004300,"EEI IGORZINHO",1,"28/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,12,1,1,22,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA HONORATO TONIOLO, 106 HIPICA. 91755-100 Porto Alegre - RS.","(51) 32641066","Privada","Particular","Não",-30.1577,-51.19768
"26",43004318,"5218 IEI CARLOS ALBERTO TEJERA DE RE",1,"31/12/2018",4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,6,0,NA,16,1,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AV ENG LUDOLFO BOEHL, 1402 CASCATA. 91720-150 Porto Alegre - RS.","(51) 33157944","Privada","Comunitária","Sim",-30.0838606,-51.2005545
"27",43004334,"5217 EEI EDUARDA PUJOL ZANIRATTI",1,"31/12/2018",4,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,5,1,1,8,1,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AV ECON NILO WULFF, 929 RESTINGA. 91790-000 Porto Alegre - RS.","(51) 30223551","Privada","Comunitária","Não",-30.1504733,-51.145228
"28",43004342,"5211 EEI JARDIM DO FUTURO",1,"31/12/2018",4,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,6,1,0,13,1,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA DA COMUNIDADE, 16 LOMBA DO PINHEIRO. 91560-550 Porto Alegre - RS.","(51) 33222359","Privada","Comunitária","Sim",-30.1254365,-51.1075524
"29",43004350,"5210 IEI EREMI",1,"31/12/2018",4,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,6,1,1,13,1,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"R PAULINO AZURENHA, 445 PARTENON. 90680-240 Porto Alegre - RS.","(51) 33526705","Privada","Comunitária","Sim",-30.0660083,-51.1938636
"30",43004369,"5208 IEI VITORIA",1,"31/12/2018",4,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,6,1,1,12,1,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AV A J RENNER, 773 HUMAITA. 90245-000 Porto Alegre - RS.","(51) 981928381","Privada","Comunitária","Sim",-29.9888897,-51.1948354
"31",43004377,"EEI COLIBRI",1,"20/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,10,1,1,14,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AVENIDA ENGENHEIRO ALFREDO CORREA DAUDT, 300 BOA VISTA. 90480-120 Porto Alegre - RS.","(51) 35161300","Privada","Particular","Sim",-30.0225,-51.17941
"32",43004385,"EEI BANANA NANIKA",1,"20/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,5,1,1,9,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AVENIDA PROTASIO ALVES, 2820 RIO BRANCO. 90410-000 Porto Alegre - RS.","(51) 30624149","Privada","Particular","Em Tramitação",-30.04281,-51.18099
"33",43004407,"EEI MUNDO DO SABER",1,"21/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,6,1,1,13,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AVENIDA EDGAR PIRES DE CASTRO, 242 ABERTA DOS MORROS. 91787-152 Porto Alegre - RS.","(51) 30224932","Privada","Particular","Em Tramitação",NA,NA
"34",43004415,"EEI CANTINHO DO SABER",1,"22/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,6,1,1,13,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AVENIDA SAO SEBASTIAO, 57 NONOAI. 90830-420 Porto Alegre - RS.","(51) 32791001","Privada","Particular","Em Tramitação",-30.09168,-51.22279
"35",43004423,"INSTITUTO EDUCACIONAL REVERENDO OLAVO NUNES",1,"14/12/2018",4,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,10,1,1,21,1,0,1,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA 25 DE JULHO Nº 437, SAO JOAO. 91031-970 Porto Alegre - RS.","(51) 33252477","Privada","Particular","Sim",-30.00418,-51.18247
"36",43004610,"5207 IEI PE DE MOLEQUE",1,"31/12/2018",4,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,6,1,1,15,1,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"R MARIA PAULA LEAL, 200 FARRAPOS. 90250-617 Porto Alegre - RS.","(51) 33621265","Privada","Comunitária","Sim",-29.983338,-51.1997823
"37",43004679,"EEI PEQUENO APRENDIZ",1,"21/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,8,1,1,14,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA VITOR HUGO, 25 PETROPOLIS. 90630-070 Porto Alegre - RS.","(51) 30126225","Privada","Particular","Em Tramitação",-30.0436006,-51.1884704
"38",43004687,"EEI SONHO DE CRIANCA",1,"19/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,18,1,1,14,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"PRACA ALBERTO RAMOS, 852 HIGIENOPOLIS. 90520-050 Porto Alegre - RS.","(51) 33929272","Privada","Particular","Em Tramitação",-30.02105,-51.18278
"39",43004709,"EEI JOAO E MARIA",1,"20/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,9,1,1,26,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA SAPE, 575 JARDIM IPIRANGA. 91350-050 Porto Alegre - RS.","(51) 33412486","Privada","Particular","Sim",-30.01693,-51.1576
"40",43004733,"EEI ANJINHOS TRAVESSOS",1,"21/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,4,1,1,8,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA LIBERAL, 3187 CAVALHADA. 91920-682 Porto Alegre - RS.","(51) 35196048","Privada","Particular","Em Tramitação",-30.09775,-51.23232
"41",43004741,"KINDERHOUSE ESCOLA DE EDUCACAO INFANTIL LTDA - ME",1,"31/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,4,1,1,10,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA PEDRO WEINGARTNER, 147 RIO BRANCO. 90430-140 Porto Alegre - RS.","(51) 30622040","Privada","Particular","Em Tramitação",-30.0298,-51.19944
"42",43004750,"EEI LAPIS DE COR",1,"31/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,4,1,1,5,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AVENIDA PERNAMBUCO, NAVEGANTES. 90240-001 Porto Alegre - RS.","(51) 32641873","Privada","Particular","Em Tramitação",-30.02766,-51.21645
"43",43004768,"ESCOLA DE EDUCACAO INFANTIL MUNDO",1,"30/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,8,1,1,22,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA BARBEDO, 584 MENINO DEUS. 90110-260 Porto Alegre - RS.","(51) 35743353","Privada","Particular","Em Tramitação",-30.05744,-51.22498
"44",43004784,"EEI SITIO DO PICA PAU AMARELO",1,"20/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,4,1,1,9,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA GOMES DE FREITAS, 330 JARDIM ITU SABARA. 91380-330 Porto Alegre - RS.","(51) 33487504","Privada","Particular","Em Tramitação",-30.01019,-51.13866
"45",43004814,"EEI ARTE E CIA",1,"30/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,1,1,22,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA NUNES, 494 MEDIANEIRA. 90870-390 Porto Alegre - RS.","(51) 33851321","Privada","Particular","Em Tramitação",NA,NA
"46",43004822,"5205 IEI OSICOM IV - NOSSA SENHORA DA SALETE",1,"31/12/2018",4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,8,1,1,16,1,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"R PARLAMENTO, 215 MORRO SANTANA. 91450-370 Porto Alegre - RS.","(51) 33388701","Privada","Filantrópica","Sim",-30.0419296,-51.1208081
"47",43004830,"5209 IEI ACOMPAR V - LUISA CASAGRANDE LEWANDOWSKI",1,"31/12/2018",4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,6,1,1,15,1,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"R DR MEER MARIO KAUFMANN, 336 STA ROSA LIMA. 91160-270 Porto Alegre - RS.","(51) 33670045","Privada","Filantrópica","Sim",-30.0013348,-51.1048818
"48",43004857,"EEI CATIVAR",1,"10/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,6,1,1,26,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AVENIDA DOM CLAUDIO JOSE GONCALVES PONCE DE LEAO, 376 VILA IPIRANGA. 91370-170 Porto Alegre - RS.","(51) 35570591","Privada","Particular","Em Tramitação",-30.01386,-51.14627
"49",43004865,"INST EDUC INF ABCB CRIANCA PAZ E BEM",1,"20/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,2,1,1,5,1,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RUA J, 140 VILA NOVA IPANEMA. HIPICA. 91755-450 Porto Alegre - RS.","(51) 32332691","Privada","Particular","Em Tramitação",-30.15227,-51.20328
